place_id,place_name,place_type,place_type_raw,significance,zone,city,state,latitude,longitude,rating,num_reviews,entry_fee_inr,entry_free,best_time,time_needed_hrs,weekly_off,dslr_allowed,airport_nearby,est_year,age_years,crowd_mean,crowd_max,crowd_min,crowd_median,crowd_std,d1_record_count,weekend_crowd,weekday_crowd,festival_crowd,regular_crowd,weekend_lift,pt_source,busyness_avg,busyness_max,morning_avg,afternoon_avg,evening_avg,night_avg,peak_hour,peak_day,peak_is_weekend,weekday_avg,weekend_avg,weekend_premium,mon_avg,tue_avg,wed_avg,thu_avg,fri_avg,sat_avg,sun_avg,typical_open_hour,typical_close_hour,crowd_level_final,crowd_label_final,same_type_in_city,total_places_in_city,popularity_score,is_low_crowd_alt,rating_norm,busyness_avg_norm,morning_avg_norm,afternoon_avg_norm,evening_avg_norm,weekday_avg_norm,weekend_avg_norm,entry_fee_inr_norm,time_needed_hrs_norm,is_museum,is_religious,is_heritage,is_park,is_beach,is_nature,is_wildlife,is_hill_station,is_market,is_cave,is_amusement_park,is_viewpoint,is_tourist_spot,best_morning,best_afternoon,best_evening,best_all_year,best_monsoon,best_winter,best_summer,zone_encoded
IND_000,India Gate,Heritage,War Memorial,Historical,Northern,Delhi,Delhi,28.6139,77.209,4.6,2.6,0,1,Evening,0.5,nan,1,1,1921.0,104.0,36518.4,50000.0,24127.0,33457.5,8079.383913178233,84.0,39502.8,35253.86440677966,43003.59259259259,29976.444444444445,4248.9,synthetic,49.67,78.0,18.36,56.14,0.0,0.0,12,sunday,1,16.72,23.38,6.65,16.83,17.12,16.08,17.25,16.33,22.92,23.83,9,17,High,2,6,16,70.84,0,0.9143,0.5489,0.2128,0.6468,0.0,0.2609,0.2997,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IND_001,Humayun'S Tomb,Heritage,Tomb,Historical,Northern,Delhi,Delhi,28.6139,77.209,4.5,0.4,30,0,Afternoon,2.0,nan,1,1,1572.0,453.0,,,,,,,,,,,,synthetic,49.57,81.0,18.26,56.1,0.0,0.0,14,saturday,1,16.6,23.56,6.96,16.75,16.12,16.46,17.54,16.12,24.12,23.0,9,17,High,2,6,16,69.78,0,0.8857,0.5467,0.2112,0.6462,0.0,0.2571,0.3041,0.004,0.2308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_002,Akshardham Temple,Religious,Temple,Religious,Northern,Delhi,Delhi,28.6139,77.209,4.6,0.4,60,0,Afternoon,5.0,nan,0,1,2005.0,20.0,,,,,,,,,,,,real,40.04,100.0,5.52,36.79,13.75,0.0,18,sunday,1,10.32,19.25,8.93,0.0,14.04,11.92,12.29,13.33,16.58,21.92,10,18,High,2,2,16,66.02,0,0.9143,0.341,0.0045,0.3783,0.176,0.0568,0.1992,0.008,0.6923,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_003,Waste To Wonder Park,Park,Theme Park,Environmental,Northern,Delhi,Delhi,28.6139,77.209,4.1,0.27,50,0,Evening,2.0,Monday,1,1,2019.0,6.0,,,,,,,,,,,,synthetic,31.53,69.0,34.69,18.88,21.0,0.0,10,saturday,1,12.08,28.92,16.83,0.0,14.92,14.46,16.08,14.96,29.08,28.75,6,20,Medium,1,4,16,56.76,0,0.7714,0.1573,0.4778,0.1299,0.2689,0.1129,0.4344,0.0067,0.2308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IND_004,Jantar Mantar,Heritage,Observatory,Scientific,Northern,Delhi,Delhi,28.6139,77.209,4.2,0.31,15,0,Morning,2.0,nan,1,1,1724.0,301.0,,,,,,,,,,,,synthetic,49.03,78.0,18.38,55.17,0.0,0.0,12,saturday,1,16.38,23.4,7.01,16.12,16.38,16.29,16.25,16.88,23.88,22.92,9,17,Medium,1,6,16,66.52,0,0.8,0.5351,0.2132,0.6333,0.0,0.2501,0.3002,0.002,0.2308,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IND_005,Chandni Chowk,Market,Market,Market,Northern,Delhi,Delhi,28.6139,77.209,4.2,0.25,0,1,Afternoon,3.0,Sunday,1,1,1700.0,325.0,,,,,,,,,,,,synthetic,42.88,78.0,8.38,40.9,36.32,0.0,19,saturday,1,20.01,14.29,-5.72,19.54,20.33,20.0,20.46,19.71,28.58,0.0,9,20,Low,0,1,16,63.44,0,0.8,0.4023,0.0509,0.4353,0.465,0.3659,0.0786,0.0,0.3846,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
IND_006,Lotus Temple,Religious,Temple,Religious,Northern,Delhi,Delhi,28.6139,77.209,4.5,0.59,0,1,Evening,1.0,Monday,1,1,1986.0,39.0,,,,,,,,,,,,synthetic,54.89,84.0,56.9,34.19,39.14,0.0,10,saturday,1,27.22,41.73,14.51,0.0,34.42,33.67,33.92,34.08,41.88,41.58,5,20,Medium,1,2,16,72.45,0,0.8857,0.6616,0.8381,0.3423,0.5011,0.5959,0.746,0.0,0.0769,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IND_007,Red Fort,Heritage,Fort,Historical,Northern,Delhi,Delhi,28.6139,77.209,4.5,1.5,35,0,Afternoon,2.0,nan,1,1,1648.0,377.0,13529.8,29397.0,2504.0,11061.0,7482.9040434719955,85.0,16430.458333333332,12388.557377049181,20640.76,6824.782608695652,4041.9,synthetic,49.38,78.0,18.36,55.71,0.0,0.0,13,sunday,1,16.58,23.35,6.77,16.42,16.42,17.29,15.79,17.0,22.96,23.75,9,17,Low,0,6,16,69.69,1,0.8857,0.5426,0.2128,0.6408,0.0,0.2565,0.299,0.0047,0.2308,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_008,Agrasen Ki Baoli,Heritage,Stepwell,Historical,Northern,Delhi,Delhi,28.6139,77.209,4.2,0.41,0,1,Afternoon,1.0,nan,1,1,1400.0,625.0,,,,,,,,,,,,synthetic,48.62,80.0,17.88,55.05,0.0,0.0,13,saturday,1,16.38,22.88,6.5,16.17,16.21,16.42,16.96,16.12,23.42,22.33,9,17,Low,0,6,16,66.31,0,0.8,0.5262,0.2051,0.6317,0.0,0.2501,0.2875,0.0,0.0769,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IND_009,Sunder Nursery,Park,Park,Botanical,Northern,Delhi,Delhi,28.6139,77.209,4.6,0.16,0,1,Afternoon,2.0,nan,1,1,1600.0,425.0,,,,,,,,,,,,synthetic,30.94,70.0,38.57,22.74,24.07,0.0,10,saturday,1,15.16,29.79,14.63,15.83,15.75,14.88,13.88,15.46,30.08,29.5,6,20,Low,0,4,16,61.47,0,0.9143,0.1446,0.5407,0.1834,0.3082,0.2112,0.4556,0.0,0.2308,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
